model	constr	group	gap	island	effect
baseline	eval_cleft	138	1	-1	-3.34375
baseline	eval_cleft	138	1	1	-1.25
baseline	eval_cleft	139	-1	-1	4.84375
baseline	eval_cleft	139	-1	1	1.4375
baseline	eval_cleft	139	1	-1	-5.53125
baseline	eval_cleft	139	1	1	-1.0
baseline	eval_cleft	140	-1	-1	4.84375
baseline	eval_cleft	140	-1	1	1.4375
baseline	eval_cleft	140	1	-1	-4.84375
baseline	eval_cleft	140	1	1	-0.4375
baseline	eval_cleft	141	-1	-1	2.3125
baseline	eval_cleft	141	-1	1	0.59375
baseline	eval_cleft	141	1	-1	-3.34375
baseline	eval_cleft	141	1	1	-1.25
baseline	eval_cleft	142	-1	-1	2.3125
baseline	eval_cleft	142	-1	1	0.59375
baseline	eval_cleft	142	1	-1	-5.53125
baseline	eval_cleft	142	1	1	-1.0
baseline	eval_cleft	143	-1	-1	2.3125
baseline	eval_cleft	143	-1	1	0.59375
baseline	eval_cleft	143	1	-1	-4.84375
baseline	eval_cleft	143	1	1	-0.4375
baseline	eval_cleft	144	-1	-1	-0.9453125
baseline	eval_cleft	144	-1	1	-2.1796875
baseline	eval_cleft	144	1	-1	-0.1875
baseline	eval_cleft	144	1	1	-0.75
baseline	eval_cleft	145	-1	-1	-0.9453125
baseline	eval_cleft	145	-1	1	-2.1796875
baseline	eval_cleft	145	1	-1	-4.09375
baseline	eval_cleft	145	1	1	-1.4375
baseline	eval_cleft	146	-1	-1	-0.9453125
baseline	eval_cleft	146	-1	1	-2.1796875
baseline	eval_cleft	146	1	-1	-4.21875
baseline	eval_cleft	146	1	1	-1.1875
baseline	eval_cleft	147	-1	-1	2.21875
baseline	eval_cleft	147	-1	1	2.15625
baseline	eval_cleft	147	1	-1	-0.1875
baseline	eval_cleft	147	1	1	-0.75
